dataset,modification,percentage,method,metric,value
Dancer 01,betweenness asc,0.30000000000000004,Fastgreedy,Modularity,0.6602595807782454
Dancer 01,betweenness asc,0.30000000000000004,Fastgreedy,NMI,0.6384340364008818
Dancer 01,betweenness asc,0.30000000000000004,Infomap,P,171.0
Dancer 01,betweenness asc,0.30000000000000004,Infomap,P*/P,0.03508771929824561
Dancer 01,betweenness asc,0.30000000000000004,Infomap,Modularity,0.5991060123648264
Dancer 01,betweenness asc,0.30000000000000004,Infomap,NMI,0.4781309240200912
Dancer 01,betweenness asc,0.30000000000000004,Label Propagation,P,52.0
Dancer 01,betweenness asc,0.30000000000000004,Label Propagation,P*/P,0.11538461538461539
Dancer 01,betweenness asc,0.30000000000000004,Label Propagation,Modularity,0.654776397155552
Dancer 01,betweenness asc,0.30000000000000004,Label Propagation,NMI,0.6570412474674693
Dancer 01,betweenness asc,0.30000000000000004,Louvain,P,59.0
Dancer 01,betweenness asc,0.30000000000000004,Louvain,P*/P,0.1016949152542373
Dancer 01,betweenness asc,0.30000000000000004,Louvain,Modularity,0.6627644566385804
Dancer 01,betweenness asc,0.30000000000000004,Louvain,NMI,0.6301281932423116
Dancer 01,betweenness desc,0.30000000000000004,Louvain-igraph,P,112.0
Dancer 01,betweenness desc,0.30000000000000004,Louvain-igraph,P*/P,0.05357142857142857
Dancer 01,betweenness desc,0.30000000000000004,Louvain-igraph,Modularity,0.7057264055387463
Dancer 01,betweenness desc,0.30000000000000004,Louvain-igraph,NMI,0.6172326335753594
Dancer 01,betweenness desc,0.30000000000000004,Fastgreedy,P,112.0
Dancer 01,betweenness desc,0.30000000000000004,Fastgreedy,P*/P,0.05357142857142857
Dancer 01,betweenness desc,0.30000000000000004,Fastgreedy,Modularity,0.7015225227308658
Dancer 01,betweenness desc,0.30000000000000004,Fastgreedy,NMI,0.6325599143519999
Dancer 01,betweenness desc,0.30000000000000004,Infomap,P,210.0
Dancer 01,betweenness desc,0.30000000000000004,Infomap,P*/P,0.02857142857142857
Dancer 01,betweenness desc,0.30000000000000004,Infomap,Modularity,0.6456435627997158
Dancer 01,betweenness desc,0.30000000000000004,Infomap,NMI,0.4901877959061647
Dancer 01,betweenness desc,0.30000000000000004,Label Propagation,P,106.0
Dancer 01,betweenness desc,0.30000000000000004,Label Propagation,P*/P,0.05660377358490566
Dancer 01,betweenness desc,0.30000000000000004,Label Propagation,Modularity,0.70144193407693
Dancer 01,betweenness desc,0.30000000000000004,Label Propagation,NMI,0.6391570910148978
Dancer 01,betweenness desc,0.30000000000000004,Louvain,P,112.0
Dancer 01,betweenness desc,0.30000000000000004,Louvain,P*/P,0.05357142857142857
Dancer 01,betweenness desc,0.30000000000000004,Louvain,Modularity,0.7056965461380978
Dancer 01,betweenness desc,0.30000000000000004,Louvain,NMI,0.613875799686888
Dancer 01,betweenness asc,0.4,Louvain-igraph,P,108.0
Dancer 01,betweenness asc,0.4,Louvain-igraph,P*/P,0.05555555555555555
Dancer 01,betweenness asc,0.4,Louvain-igraph,Modularity,0.670602961482493
Dancer 01,betweenness asc,0.4,Louvain-igraph,NMI,0.5833086185065322
Dancer 01,betweenness asc,0.4,Fastgreedy,P,108.0
Dancer 01,betweenness asc,0.4,Fastgreedy,P*/P,0.05555555555555555
